web-scraper-order,web-scraper-start-url,title,title-href,vid
"1560014063-435","http://www.blackandwhitemovies.org/movies-list","Nabonga (1944)","http://www.blackandwhitemovies.org/nabonga-1944.html","http://www.archive.org/download/nabonga_1944/nabonga_512kb.mp4"
"1560014786-511","http://www.blackandwhitemovies.org/movies-list","20,000 Leagues Under the Sea (1916)","http://www.blackandwhitemovies.org/20000-leagues-under-the-sea-1916.html","http://www.archive.org/download/20000LeaguesUndertheSea/20000_Leagues_Under_the_Sea_512kb.mp4"
"1560013273-361","http://www.blackandwhitemovies.org/movies-list","The File On Thelma Jordan (1950)","http://www.blackandwhitemovies.org/the-file-on-thelma-jordan-1950.html","http://www.archive.org/download/TheFileonThelmaJordanBarbaraStanwyck1950ripHJXvid2/TheFileonThelmaJordanBarbaraStanwyck1950ripHJXvid2_512kb.mp4"
"1560013325-365","http://www.blackandwhitemovies.org/movies-list","The Eye Creatures (1965)","http://www.blackandwhitemovies.org/the-eye-creatures-1965.html","http://www.archive.org/download/The_Eye_Creatures/The_Eye_Creatures_1962.avi_512kb.mp4"
"1560013703-400","http://www.blackandwhitemovies.org/movies-list","The Paleface (1922)","http://www.blackandwhitemovies.org/the-paleface-1922.html","http://www.archive.org/download/ThePaleface/The_Paleface_512kb.mp4"
"1560013839-414","http://www.blackandwhitemovies.org/movies-list","Spellbound (1941)","http://www.blackandwhitemovies.org/spellbound-1941.html","http://www.archive.org/download/Spellbound_1941/Spellbound_1941_512kb.mp4"
"1560013905-420","http://www.blackandwhitemovies.org/movies-list","Return of the Scarlet Pimpernel (1937)","http://www.blackandwhitemovies.org/return-of-the-scarlet-pimpernel-1937.html","http://www.archive.org/download/ReturnoftheScarletPimpernel/ReturnoftheScarletPimpernel_512kb.mp4"
"1560013644-394","http://www.blackandwhitemovies.org/movies-list","The Love Nest (1923)","http://www.blackandwhitemovies.org/the-love-nest-1923.html","http://www.archive.org/download/LoveNest/keaton.love.nest_512kb.mp4"
"1560013567-387","http://www.blackandwhitemovies.org/movies-list","Three Ages (1923)","http://www.blackandwhitemovies.org/three-ages-1923.html","http://www.archive.org/download/Silent_ThreeAges_1923/Silent_ThreeAges_1923_ClaCinOnl_512kb.mp4"
"1560013303-363","http://www.blackandwhitemovies.org/movies-list","The 39 Steps (1935)","http://www.blackandwhitemovies.org/the-39-steps-1935.html","http://www.archive.org/download/the39steps_ipod/The_39_Steps_512kb.mp4"
"1560013163-351","http://www.blackandwhitemovies.org/movies-list","The Red Blood of Courage (1935)","http://www.blackandwhitemovies.org/the-red-blood-of-courage-1935.html","http://www.archive.org/download/red_blood_of_courage/red_blood_of_courage_512kb.mp4"
"1560013894-419","http://www.blackandwhitemovies.org/movies-list","Reign of Terror (1949)","http://www.blackandwhitemovies.org/reign-of-terror-1949.html","http://www.archive.org/download/Reign_of_Terror_movie/Reign_of_Terror_512kb.mp4"
"1560013512-382","http://www.blackandwhitemovies.org/movies-list","The General (1927)","http://www.blackandwhitemovies.org/the-general-1927.html","http://www.archive.org/download/Buster_Keaton_The_General/TheGeneral_512kb.mp4"
"1560014111-441","http://www.blackandwhitemovies.org/movies-list","My Man Godfrey (1936)","http://www.blackandwhitemovies.org/my-man-godfrey-1936.html","http://www.archive.org/download/MyManGodfrey1936/MyManGodfrey1936_512kb.mp4"
"1560014774-509","http://www.blackandwhitemovies.org/movies-list","Arizona Gunfighter (1937)","http://www.blackandwhitemovies.org/arizona-gunfighter-1937.html","http://www.archive.org/download/ArizonaGunfighter/ArizonaGunfighter_512kb.mp4"
"1560013611-391","http://www.blackandwhitemovies.org/movies-list","The Play House (1921)","http://www.blackandwhitemovies.org/the-play-house-1921.html","http://www.archive.org/download/Silent_ThePlayHouse_1921/Silent_ThePlayHouse_1921_ClaCinOnl_512kb.mp4"
"1560014202-450","http://www.blackandwhitemovies.org/movies-list","His Girl Friday (1940)","http://www.blackandwhitemovies.org/his-girl-friday-1940.html","http://www.archive.org/download/HisGirlFriday/MoviePowderPresentsHisGirlFriday_512kb.mp4"
"1560014008-430","http://www.blackandwhitemovies.org/movies-list","Nightmare Castle (1965)","http://www.blackandwhitemovies.org/nightmare-castle-1965.html","http://www.archive.org/download/nightmare_castle/nightmare_castle_512kb.mp4"
"1560014147-445","http://www.blackandwhitemovies.org/movies-list","Lumberjack (1944)","http://www.blackandwhitemovies.org/lumberjack-1944.html","http://www.archive.org/download/lumberjack1944/lumberjack1944_512kb.mp4"
"1560014052-434","http://www.blackandwhitemovies.org/movies-list","Neighbors (1920)","http://www.blackandwhitemovies.org/neighbors-1920.html","http://www.archive.org/download/Neighbors/frigoNeighbors_512kb.mp4"
"1560014301-459","http://www.blackandwhitemovies.org/movies-list","Doll Face (1945)","http://www.blackandwhitemovies.org/doll-face-1945.html","http://www.archive.org/download/dollface/dollface_512kb.mp4"
"1560014334-462","http://www.blackandwhitemovies.org/movies-list","D.O.A. (1950)","http://www.blackandwhitemovies.org/d-o-a-1950.html","http://www.archive.org/download/doa_1949/doa_1949_512kb.mp4"
"1560013545-385","http://www.blackandwhitemovies.org/movies-list","The Man Who Walked Alone (1945)","http://www.blackandwhitemovies.org/the-man-who-walked-alone-1945.html","http://www.archive.org/download/Man_Who_Walked_Alone_1945/Man_Who_Walked_Alone_512kb.mp4"
"1560013725-402","http://www.blackandwhitemovies.org/movies-list","The Rodeo (1929)","http://www.blackandwhitemovies.org/the-rodeo-1929.html","http://www.archive.org/download/The_Rodeo/The_Rodeo_512kb.mp4"
"1560013534-384","http://www.blackandwhitemovies.org/movies-list","Two Weeks to Live (1943)","http://www.blackandwhitemovies.org/two-weeks-to-live-1943.html","http://www.archive.org/download/2_weeks_to_live/two_weeks_to_live_512kb.mp4"
"1560014426-471","http://www.blackandwhitemovies.org/movies-list","Combat America (1943)","http://www.blackandwhitemovies.org/combat-america-1943.html","null"
"1560013229-357","http://www.blackandwhitemovies.org/movies-list","The Big Show (1936)","http://www.blackandwhitemovies.org/the-big-show-1936.html","http://www.archive.org/download/the_big_show/the_big_show_512kb.mp4"
